datetime_kst,n_sites_high_err,n_sites_total,max_z,mean_residual
2025-11-01 17:00:00,2,8,3.6881115,-0.024259498
2025-11-02 09:00:00,2,8,2.448979,0.0201569
2025-11-02 11:00:00,2,8,3.6835427,-0.06375165
2025-11-03 14:00:00,2,8,7.4554124,-0.02070396
2025-11-03 17:00:00,2,8,3.3658412,-0.0041775526
2025-11-04 09:00:00,2,8,2.2377932,0.018021502
2025-11-06 09:00:00,2,8,3.8058891,0.040243637
2025-11-09 09:00:00,2,8,4.40064,0.013671588
2025-11-11 09:00:00,2,8,2.8980129,0.0057809334
2025-11-11 13:00:00,2,8,6.881069,-0.002058696
2025-12-29 13:00:00,2,8,3.974408,-0.018401973
2025-11-12 09:00:00,2,8,2.9449763,0.030339973
2025-11-13 11:00:00,2,8,3.8387167,0.061301477
2025-12-29 14:00:00,2,8,4.620479,-0.08342061
2025-12-29 16:00:00,2,8,4.5096846,-0.0889602
2025-11-22 17:00:00,2,8,2.0433292,-0.006779305
2025-11-25 12:00:00,2,8,3.0238438,-0.0001243446
2025-11-27 13:00:00,2,8,5.695412,0.06544779
2025-11-27 14:00:00,2,8,3.1897006,-0.013764836
2025-11-27 16:00:00,2,8,2.8182259,0.0009952192
2025-12-01 10:00:00,2,8,3.7559118,-0.0023929123
2025-12-03 15:00:00,2,8,2.3751636,-0.05043615
2025-12-04 13:00:00,2,8,8.662931,-0.05238896
2025-12-08 09:00:00,2,8,3.6584523,0.00456278
2025-12-11 10:00:00,2,8,2.5132465,-0.03713798
2025-12-14 17:00:00,2,8,3.0712461,0.014004359
2025-12-15 16:00:00,2,8,2.2935388,-0.021596687
2025-12-18 10:00:00,2,8,2.879069,0.027598565
2025-12-18 17:00:00,2,8,3.3809593,0.00015041232
2025-12-19 10:00:00,2,8,3.6152442,0.0017314963
2025-12-21 17:00:00,2,8,4.0397573,0.009146892
2025-12-22 16:00:00,2,8,2.2483318,0.030808654
2025-12-24 10:00:00,2,8,5.197679,0.03848691
2025-12-24 11:00:00,2,8,2.8262749,0.04132122
2025-12-25 10:00:00,2,8,3.2107098,-0.010227164
2025-12-27 10:00:00,2,8,4.6561155,-0.045712247
2025-12-27 11:00:00,2,8,5.406397,-0.06601495
2025-12-27 12:00:00,2,8,6.3514028,-0.059901953
2025-12-27 13:00:00,2,8,7.5850286,-0.09491567
2025-12-27 14:00:00,2,8,7.010305,-0.044144005
2025-12-27 15:00:00,2,8,5.877141,-0.04139831
2025-12-28 12:00:00,2,8,6.7739224,-0.07221115
2025-12-29 17:00:00,2,8,2.7961724,-0.0333376
2025-12-30 13:00:00,2,8,5.245536,-0.018744547
2025-12-31 09:00:00,2,7,2.4021847,0.011329598
2025-12-31 12:00:00,2,8,2.781506,0.012744315
2025-12-31 13:00:00,2,8,2.259564,0.023360603
2025-01-02 17:00:00,2,8,2.5545568,-0.010085678
2025-03-15 13:00:00,1,8,2.0688703,0.04532424
2025-04-12 08:00:00,1,8,2.243422,0.030484479
2025-01-26 17:00:00,1,8,4.167822,0.014845513
2025-03-15 15:00:00,1,8,2.1179929,0.05005455
2025-04-30 19:00:00,1,8,2.0573614,-0.01622808
2025-06-12 19:00:00,1,8,2.1698704,0.004600358
2025-03-15 18:00:00,1,8,4.712546,0.011490986
2025-01-27 13:00:00,1,8,2.7728677,0.010142444
2025-06-25 11:00:00,1,8,2.5466647,0.022249525
2025-01-27 15:00:00,1,8,3.2787957,-0.033429388
2025-01-27 16:00:00,1,8,2.2668314,-0.06522221
2025-01-27 17:00:00,1,8,2.1220279,0.012604674
2025-05-01 09:00:00,1,8,2.11919,0.030408688
2025-01-28 11:00:00,1,8,2.4507177,-0.054055862
2025-01-28 12:00:00,1,8,3.0976167,-0.07260965
2025-01-28 14:00:00,1,8,2.3274734,-0.086391196
2025-01-28 15:00:00,1,8,4.095166,-0.017808747
2025-06-19 15:00:00,1,8,2.2266903,0.06710993
2025-05-25 19:00:00,1,8,2.2373548,-0.0026094154
2025-05-15 14:00:00,1,8,2.064203,-0.025757918
2025-03-16 13:00:00,1,8,2.3966904,-0.005114574
2025-05-15 15:00:00,1,8,2.0001767,-0.005418403
2025-06-19 16:00:00,1,8,2.6454458,0.02574843
2025-01-29 14:00:00,1,8,2.3845005,-0.054526098
2025-03-16 16:00:00,1,8,2.0662563,0.029934488
2025-01-29 16:00:00,1,8,3.8912454,0.030143224
2025-05-15 17:00:00,1,8,2.234262,-0.011749522
