datetime_kst,actual_kwh,pred_kwh,sigma_kwh2,cap_kw,n_sites,sigma_kwh,residual_kwh,abs_err_kwh,nmae_pct
2025-03-11 10:00:00,38827.4522909224,35061.08678488433,10855914.951823995,77281,8,3294.831551357974,3766.3655060380697,3766.3655060380697,4.87359830493662
2025-03-11 11:00:00,51272.54986858368,49495.120618104935,3503524.9777752375,77281,8,1871.770546240975,1777.4292504787445,1777.4292504787445,2.299956328824348
2025-03-11 12:00:00,48619.85760462284,52591.885479450226,9462658.00838865,77281,8,3076.14336603297,-3972.027874827385,3972.027874827385,5.139721114927841
2025-03-11 13:00:00,59895.83840870857,57549.27949413657,8280949.555527054,77281,8,2877.6639059360377,2346.5589145720005,2346.5589145720005,3.036398227988769
2025-03-11 14:00:00,59950.72198075056,58684.65784174204,6501462.856426553,77281,8,2549.796630405365,1266.064139008522,1266.064139008522,1.6382605543516802
2025-03-11 15:00:00,54804.67984968424,53920.87018018961,4292763.172654423,77281,8,2071.8984465109343,883.8096694946289,883.8096694946289,1.1436312541176084
2025-03-11 16:00:00,44185.584890425205,44032.334697544575,4119922.9045113055,77281,8,2029.759321819044,153.2501928806305,153.2501928806305,0.19830254898439525
2025-03-11 17:00:00,29335.232491254807,26999.917509824038,5262228.428974042,77281,8,2293.9547573947575,2335.314981430769,2335.314981430769,3.0218488133315677
2025-03-11 18:00:00,12003.126706592739,10020.183764517307,1748515.9711761333,77281,8,1322.314626394238,1982.9429420754313,1982.9429420754313,2.5658867536334045
2025-03-12 08:00:00,4094.3628862322075,2583.697624273598,1512386.0132921315,77281,8,1229.7910445649422,1510.6652619586093,1510.6652619586093,1.9547692989979548
2025-03-12 09:00:00,16813.924393024296,14198.48938255012,8940535.934515473,77281,8,2990.0728978597617,2615.435010474175,2615.435010474175,3.3843182806565326
2025-03-12 10:00:00,32620.128906738013,29809.249786749482,8680770.737439318,77281,8,2946.31477229425,2810.879119988531,2810.879119988531,3.6372188765524913
2025-03-12 11:00:00,24720.243980512023,29488.742732912302,23247919.54799815,77281,8,4821.609642847308,-4768.498752400279,4768.498752400279,6.170337796353928
2025-03-12 12:00:00,13807.172128245234,19500.38772970438,26994259.316817008,77281,8,5195.599995844273,-5693.215601459146,5693.215601459146,7.366902086488459
2025-03-12 13:00:00,22229.76045548916,25342.85873094201,33764003.11551211,77281,8,5810.680090618663,-3113.0982754528522,3113.0982754528522,4.028284151929778
2025-03-12 14:00:00,37414.44620800018,33387.546123698354,28315101.5722377,77281,8,5321.193622885537,4026.9000843018293,4026.9000843018293,5.210724607991394
2025-03-12 15:00:00,36764.615177594125,41901.23004578054,9583546.11302235,77281,8,3095.7303036637977,-5136.614868186414,5136.614868186414,6.646672362141295
2025-03-12 16:00:00,26924.6047270447,31662.399085395038,17148838.11943856,77281,8,4141.115564607991,-4737.794358350337,4737.794358350337,6.130606951709135
2025-03-12 17:00:00,20709.85372836888,19268.41361021623,14442276.067034783,77281,8,3800.299470704221,1441.4401181526482,1441.4401181526482,1.865193408667911
