site,unit,date,total_kwh,avg_kw,max_hour_kw,min_hour_kw
경상대태양광,1,2022-10-19,4218.696,176,616.03,1.08
경상대태양광,1,2022-10-20,4107.096,171,602.78,0.936
경상대태양광,1,2022-10-21,2415.456,101,432.72,0.144
경상대태양광,1,2022-10-22,2714.04,113,545.54,8.64
경상대태양광,1,2022-10-23,3680.568,153,569.95,1.512
경상대태양광,1,2022-10-24,4019.832,167,606.16,0.36
경상대태양광,1,2022-10-25,3936.168,164,592.27,0.28
경상대태양광,1,2022-10-26,3507.624,146,566.2,0.288
경상대태양광,1,2022-10-27,3669.912,153,563.83,0.072
경상대태양광,1,2022-10-28,3413.016,142,537.26,0.072
경상대태양광,1,2022-10-29,2929.752,122,505.36,0.072
경상대태양광,1,2022-10-30,3162.816,132,530.35,2.016
경상대태양광,1,2022-10-31,3629.664,151,553.68,3.672
경상대태양광,1,2022-11-01,3532.464,147,544.89,3.744
경상대태양광,1,2022-11-02,3543.264,148,547.84,3.24
경상대태양광,1,2022-11-03,3380.76,141,531.64,3.168
경상대태양광,1,2022-11-04,3732.408,156,578.88,2.304
경상대태양광,1,2022-11-05,3773.52,157,576.72,2.088
경상대태양광,1,2022-11-06,3549.096,148,561.02,2.592
경상대태양광,1,2022-11-07,3302.136,138,523.58,1.72
경상대태양광,1,2022-11-08,3365.136,140,533.08,1.8
경상대태양광,1,2022-11-09,3242.88,135,529.48,1.584
경상대태양광,1,2022-11-10,2960.928,123,506.44,0.936
경상대태양광,1,2022-11-11,2785.464,116,477.21,0.792
경상대태양광,1,2022-11-12,1752.912,73,366.33,6.624
경상대태양광,1,2022-11-13,1129.392,47,281.23,0.432
경상대태양광,1,2022-11-14,1197.288,50,215.49,0.792
경상대태양광,1,2022-11-15,3498.192,146,562.1,0.864
경상대태양광,1,2022-11-16,3164.256,132,502.2,0.432
경상대태양광,1,2022-11-17,3158.712,132,547.34,0.432
경상대태양광,1,2022-11-18,3472.2,145,556.27,0.432
경상대태양광,1,2022-11-19,2751.048,115,465.91,0.432
경상대태양광,1,2022-11-20,906.48,38,196.84,5.904
경상대태양광,1,2022-11-21,2008.944,84,420.19,1.296
경상대태양광,1,2022-11-22,647.28,27,117.07,0.5
경상대태양광,1,2022-11-23,2849.76,119,503.2,0.288
경상대태양광,1,2022-11-24,2473.56,103,470.3,0.144
경상대태양광,1,2022-11-25,2898.936,121,509.04,0.216
경상대태양광,1,2022-11-26,3035.52,126,507.96,0.072
경상대태양광,1,2022-11-27,2836.44,118,525.02,16.992
경상대태양광,1,2022-11-28,683.928,28,214.41,0.072
경상대태양광,1,2022-11-29,674.928,28,159.98,8.856
경상대태양광,1,2022-11-30,2145.888,89,378.5,5.76
경상대태양광,1,2022-12-01,2611.368,109,551.3,8.784
경상대태양광,1,2022-12-02,3434.4,143,570.74,0.072
경상대태양광,1,2022-12-03,1265.832,53,239.32,7.632
경상대태양광,1,2022-12-04,2151.288,90,347.97,5.904
경상대태양광,1,2022-12-05,1998.432,83,390.74,0.072
경상대태양광,1,2022-12-06,3075.48,128,514.22,0.216
경상대태양광,1,2022-12-07,2895.264,121,502.48,0.14
경상대태양광,1,2022-12-08,2867.256,119,525.31,0.072
경상대태양광,1,2022-12-09,2341.512,98,458.06,0.216
경상대태양광,1,2022-12-10,1187.496,49,295.48,5.112
경상대태양광,1,2022-12-11,3022.2,126,521.42,0.144
경상대태양광,1,2022-12-12,1011.168,42,291.67,1.224
경상대태양광,1,2022-12-13,2192.76,91,393.48,4.608
경상대태양광,1,2022-12-14,3358.08,140,557.78,0.072
경상대태양광,1,2022-12-15,3140.64,131,532.22,0.144
경상대태양광,1,2022-12-16,2615.04,109,471.52,0.072
경상대태양광,1,2022-12-17,2003.544,83,368.71,1.872
경상대태양광,1,2022-12-18,3134.088,131,547.2,0.216
경상대태양광,1,2022-12-19,3101.976,129,531.5,3.816
경상대태양광,1,2022-12-20,3073.32,128,528.19,2.88
경상대태양광,1,2022-12-21,507.456,21,144.36,11.592
경상대태양광,1,2022-12-22,2351.16,98,446.25,0.432
경상대태양광,1,2022-12-23,2819.232,117,523.44,0.648
경상대태양광,1,2022-12-24,3255.264,136,553.75,0.36
경상대태양광,1,2022-12-25,3263.04,136,549.72,0.576
경상대태양광,1,2022-12-26,2179.872,91,391.32,1.152
경상대태양광,1,2022-12-27,3152.088,131,523.51,0.79
경상대태양광,1,2022-12-28,2549.952,106,496.58,1.29
경상대태양광,1,2022-12-29,3099.24,129,526.53,1.44
경상대태양광,1,2022-12-30,2818.944,117,510.48,1.008
경상대태양광,1,2022-12-31,3182.976,133,539.71,1.296
경상대태양광,1,2023-01-01,2715.264,113,465.62,1.224
경상대태양광,1,2023-01-02,3235.176,135,525.6,1.8
경상대태양광,1,2023-01-03,3373.776,141,562.39,0.216
경상대태양광,1,2023-01-04,2978.712,124,523.22,1.368
경상대태양광,1,2023-01-05,2178.504,91,413.92,1.728
경상대태양광,1,2023-01-06,2775.384,116,508.24,1.008
경상대태양광,1,2023-01-07,2472.624,103,514.87,0.86
경상대태양광,1,2023-01-08,3136.32,131,531.93,1.512
경상대태양광,1,2023-01-09,2238.192,93,454.17,0.936
경상대태양광,1,2023-01-10,3148.272,131,536.04,1.368
경상대태양광,1,2023-01-11,2990.376,125,506.37,1.22
경상대태양광,1,2023-01-12,2809.584,117,523.58,1.44
경상대태양광,1,2023-01-13,1200.96,50,351.21,3.672
경상대태양광,1,2023-01-14,145.8,6,43.92,1.296
경상대태양광,1,2023-01-15,453.6,19,115.48,4.752
경상대태양광,1,2023-01-16,3714.984,155,602.42,2.664
경상대태양광,1,2023-01-17,3464.64,144,573.69,1.94
경상대태양광,1,2023-01-18,2705.76,113,535.32,1.296
경상대태양광,1,2023-01-19,3434.688,143,573.84,3.528
경상대태양광,1,2023-01-20,3435.048,143,575.06,1.656
경상대태양광,1,2023-01-21,3773.592,157,611.92,1.58
경상대태양광,1,2023-01-22,964.872,40,206.13,0.504
경상대태양광,1,2023-01-23,3243.168,135,574.27,3.168
경상대태양광,1,2023-01-24,4119.768,172,666.86,1.944
경상대태양광,1,2023-01-25,3975.552,166,630.93,3.744
경상대태양광,1,2023-01-26,1605.744,67,313.41,0.36
경상대태양광,1,2023-01-27,3932.568,164,638.06,2.52
경상대태양광,1,2023-01-28,3694.032,154,629.64,3.528
경상대태양광,1,2023-01-29,3687.768,154,607.32,4.752
경상대태양광,1,2023-01-30,3932.352,164,621.36,4.248
경상대태양광,1,2023-01-31,3807.072,159,602.92,4.752
경상대태양광,1,2023-02-01,3102.84,129,511.2,2.808
경상대태양광,1,2023-02-02,3023.784,126,524.16,6.84
경상대태양광,1,2023-02-03,2897.712,121,568.58,0.144
경상대태양광,1,2023-02-04,3589.416,150,585.79,7.2
경상대태양광,1,2023-02-05,3982.824,166,617.9,8.136
경상대태양광,1,2023-02-06,2536.2,106,546.76,4.536
경상대태양광,1,2023-02-07,3480.192,145,587.88,4.536
경상대태양광,1,2023-02-08,3819.672,159,585.86,10.44
경상대태양광,1,2023-02-09,2545.704,106,541.58,6.624
경상대태양광,1,2023-02-10,2704.824,113,591.4,0.216
경상대태양광,1,2023-02-11,1899.0,79,351.21,7.92
경상대태양광,1,2023-02-12,1453.824,61,352.87,5.18
경상대태양광,1,2023-02-13,1079.64,45,245.08,0.072
경상대태양광,1,2023-02-14,3724.992,155,603.93,13.248
경상대태양광,1,2023-02-15,1640.304,68,316.72,0.936
경상대태양광,1,2023-02-16,2209.392,92,468.0,7.344
경상대태양광,1,2023-02-17,1242.0,52,266.54,1.152
경상대태양광,1,2023-02-18,499.248,21,147.38,0.36
경상대태양광,1,2023-02-19,4019.688,167,628.7,0.072
경상대태양광,1,2023-02-20,4349.88,181,668.08,21.888
경상대태양광,1,2023-02-21,4595.904,191,670.82,0.216
경상대태양광,1,2023-02-22,4004.424,167,637.41,25.632
경상대태양광,1,2023-02-23,4174.416,174,647.06,0.072
경상대태양광,1,2023-02-24,3999.816,167,626.18,0.36
경상대태양광,1,2023-02-25,4658.832,194,680.25,0.648
경상대태양광,1,2023-02-26,4594.68,191,664.7,0.57
경상대태양광,1,2023-02-27,4607.064,192,655.34,0.648
경상대태양광,1,2023-02-28,4593.528,191,661.6,0.57
경상대태양광,1,2023-03-01,2007.144,84,402.69,2.304
경상대태양광,1,2023-03-02,4743.792,198,683.92,1.512
경상대태양광,1,2023-03-03,4538.592,189,656.35,0.792
경상대태양광,1,2023-03-04,3484.008,145,584.56,0.216
경상대태양광,1,2023-03-05,3954.528,165,595.44,1.8
경상대태양광,1,2023-03-06,4266.216,178,613.36,2.304
경상대태양광,1,2023-03-07,3669.552,153,579.31,1.656
경상대태양광,1,2023-03-08,3696.264,154,498.38,2.736
경상대태양광,1,2023-03-09,3163.536,132,550.8,2.088
경상대태양광,1,2023-03-10,4009.032,167,581.18,2.448
경상대태양광,1,2023-03-11,3386.088,141,514.87,0.504
경상대태양광,1,2023-03-12,1294.056,54,461.23,14.976
경상대태양광,1,2023-03-13,0.0,0,0.0,0.0
경상대태양광,1,2023-03-14,0.0,0,0.0,0.0
경상대태양광,1,2023-03-15,228.672,10,119.44,4.392
경상대태양광,1,2023-03-16,4465.656,186,655.63,0.72
경상대태양광,1,2023-03-17,2189.088,91,369.14,0.07
경상대태양광,1,2023-03-18,3603.96,150,662.68,7.128
경상대태양광,1,2023-03-19,4643.28,193,645.26,1.944
경상대태양광,1,2023-03-20,4511.952,188,665.71,1.872
경상대태양광,1,2023-03-21,3616.416,151,641.3,7.34
경상대태양광,1,2023-03-22,1110.816,46,223.56,9.864
경상대태양광,1,2023-03-23,760.176,32,205.7,0.432
경상대태양광,1,2023-03-24,345.312,14,97.41,0.072
