발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
삼천포태양광, 2, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 27.936, 184.224, 409.152, 583.296, 694.656, 702.528, 675.36, 694.752, 582.912, 427.488, 282.144, 153.6, 35.232, 0, 0, 0, 0, 0, 5453.28, 227, 702.52, 27.936, 702.528, 0, 
삼천포태양광, 3, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 7.308, 61.632, 136.08, 197.82, 240.696, 258.912, 266.76, 259.02, 232.704, 181.836, 104.22, 54.18, 9.864, 0, 0, 0, 0, 0, 2011.032, 84, 266.76, 7.308, 266.76, 0, 
삼천포태양광, 4, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 5.76, 239.22, 618.66, 939.24, 94.058, 110.78, 112.936, 926.46, 1169.28, 887.94, 468.9, 229.14, 1187.82, 1184.94, 1184.58, 16.38, 0, 0, 9376.094, 391, 1187.82, 5.76, 1187.82, 0, 
구미태양광, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 14.897, 159.022, 358.325, 509.682, 597.039, 677.527, 727.425, 690.688, 624.375, 506.789, 348.273, 158.299, 20.248, 0, 0, 0, 0, 0, 5392.589, 225, 727.42, 14.897, 727.425, 0, 
삼천포태양광#6, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 35.435, 157.648, 323.252, 506.211, 138.514, 92.573, 127.81, 431.725, 724.604, 601.667, 358.686, 208.269, 569.848, 635.656, 636.379, 174.281, 0, 0, 5722.558, 238, 724.6, 35.43, 724.604, 0, 
영흥태양광#5, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 125.347, 588.168, 1301.684, 1923.6, 2408.116, 2748, 2890.221, 2846.832, 2562.389, 2017.611, 1381.232, 648.432, 156.684, 2.411, 0, 0, 0, 0, 21600.727, 900, 2890.22, 2.411, 2890.221, 0, 
영흥태양광 #3, 1, 2023-04-27 00:00:00, 1869.6, 0, 0, 0, 0, 0, 97.44, 498, 1066.32, 1615.44, 170.88, 65.28, 65.52, 2316.48, 2262.72, 1850.4, 1265.76, 525.84, 126.24, 0, 0, 0, 2068.8, 2220, 18084.72, 754, 2316.48, 65.28, 2316.48, 0, 
영흥태양광 #3, 2, 2023-04-27 00:00:00, 699.84, 0, 0, 0, 0, 0, 26.784, 177.312, 398.88, 619.488, 101.472, 31.104, 191.232, 931.2, 850.272, 702.912, 488.352, 237.984, 52.896, 0, 0, 0, 660.48, 742.08, 6912.288, 288, 931.2, 26.78, 931.2, 0, 
영흥태양광 #3, 3, 2023-04-27 00:00:00, 708, 0, 0, 0, 0, 0, 22.56, 150, 341.16, 518.88, 94.92, 39.6, 38.64, 448.2, 709.2, 588.72, 398.4, 201.72, 44.88, 0, 0, 0, 664.8, 740.4, 5710.08, 238, 740.4, 22.56, 740.4, 0, 
영흥태양광, 1, 2023-04-27 00:00:00, 0, 0, 0, 0, 0, 0, 14.016, 108.941, 269.99, 460.531, 607.987, 708.365, 732.634, 735.821, 673.651, 549.696, 382.31, 190.157, 44.429, 0.154, 0, 0, 0, 0, 5478.682, 228, 735.82, 0.154, 735.821, 0, 
